year,doy,label,BLU,GRN,RED,NIR,SW1,SW2,RE1,RE2,RE3,BNR
20211008,8,0.809536,297.0,476.0,319.0,2100.0,958.0,538.0,739.0,1604.0,1772.0,1721.0
20211010,10,0.809536,218.0,362.0,243.0,2090.0,1023.0,507.0,660.0,1533.0,1887.0,1624.0
20211013,13,0.809536,218.0,363.0,236.0,2013.0,955.0,481.0,713.0,1597.0,1852.0,1596.0
20211023,23,0.809536,298.0,374.0,319.0,1879.0,933.0,509.0,775.0,1314.0,1537.0,1340.0
20211028,28,0.809536,279.0,442.0,329.0,1990.0,1022.0,564.0,901.0,1524.0,1704.0,1502.0
20211030,30,0.809536,290.0,457.0,390.0,1882.0,1109.0,558.0,948.0,1596.0,1736.0,1610.0
20211122,53,0.809536,394.0,452.0,553.0,1608.0,1202.0,799.0,912.0,1196.0,1373.0,1435.0
20211202,63,0.809536,343.0,413.0,514.0,1309.0,1187.0,835.0,806.0,1044.0,1112.0,1169.0
20220106,98,0.809536,345.0,400.0,470.0,1016.0,837.0,701.0,656.0,841.0,890.0,967.0
20220212,135,0.809536,471.0,522.0,560.0,1096.0,1067.0,847.0,796.0,983.0,997.0,985.0
20220227,150,0.809536,693.0,703.0,698.0,1189.0,1105.0,890.0,915.0,989.0,1065.0,978.0
20220307,158,0.809536,486.0,540.0,626.0,1122.0,1125.0,988.0,803.0,961.0,1014.0,962.0
20220309,160,0.809536,534.0,568.0,611.0,1147.0,1173.0,990.0,845.0,1000.0,1056.0,905.0
20220312,163,0.809536,518.0,534.0,609.0,1078.0,1232.0,1039.0,792.0,942.0,999.0,944.0
20220314,165,0.809536,506.0,552.0,627.0,1099.0,1154.0,979.0,909.0,985.0,1060.0,938.0
20220322,173,0.809536,564.0,590.0,619.0,1126.0,1238.0,1035.0,838.0,967.0,1057.0,1019.0
20220324,175,0.809536,542.0,584.0,653.0,1190.0,1208.0,1019.0,852.0,1090.0,1092.0,1010.0
20220327,178,0.809536,663.0,707.0,706.0,1304.0,1274.0,1075.0,895.0,1111.0,1167.0,1218.0
20220411,193,0.809536,711.0,800.0,777.0,1565.0,1436.0,1137.0,1059.0,1332.0,1425.0,1443.0
20220416,198,0.809536,474.0,604.0,600.0,1391.0,1205.0,1006.0,880.0,1167.0,1226.0,1203.0
20220418,200,0.809536,446.0,532.0,574.0,1388.0,1225.0,985.0,844.0,1148.0,1242.0,1230.0
20220423,205,0.809536,467.0,619.0,667.0,1470.0,1283.0,1015.0,922.0,1234.0,1322.0,1279.0
20220426,208,0.809536,440.0,530.0,591.0,1545.0,1192.0,957.0,909.0,1304.0,1402.0,1316.0
20220503,215,0.809536,436.0,627.0,564.0,1947.0,1347.0,929.0,957.0,1663.0,1773.0,1716.0
20220506,218,0.809536,342.0,445.0,340.0,1462.0,799.0,535.0,674.0,1213.0,1366.0,1190.0
20220508,220,0.809536,320.0,562.0,424.0,2397.0,1354.0,832.0,954.0,1944.0,2184.0,1995.0
20220511,223,0.809536,331.0,601.0,445.0,2654.0,1420.0,849.0,993.0,2080.0,2456.0,2480.0
20220516,228,0.809536,425.0,706.0,496.0,2681.0,1358.0,896.0,983.0,2161.0,2526.0,2675.0
20220518,230,0.809536,244.0,557.0,341.0,2756.0,1398.0,821.0,896.0,2250.0,2621.0,2655.0
20220622,265,0.809536,247.0,511.0,241.0,3050.0,1389.0,750.0,780.0,2365.0,2828.0,3323.0
20220627,270,0.809536,210.0,558.0,250.0,2850.0,1411.0,764.0,837.0,2337.0,2729.0,3236.0
20220702,275,0.809536,279.0,573.0,236.0,3183.0,1491.0,807.0,783.0,2541.0,2972.0,3395.0
20220712,285,0.809536,196.0,515.0,240.0,2980.0,1372.0,743.0,698.0,2362.0,2782.0,3167.0
20220720,293,0.809536,353.0,569.0,342.0,2851.0,1304.0,679.0,804.0,2181.0,2675.0,2929.0
20220725,298,0.809536,255.0,504.0,272.0,2610.0,1174.0,653.0,722.0,2046.0,2458.0,2774.0
20220804,308,0.809536,257.0,516.0,274.0,2599.0,1191.0,647.0,763.0,2086.0,2424.0,2866.0
20220809,313,0.809536,242.0,516.0,255.0,2643.0,1217.0,669.0,809.0,2051.0,2472.0,2797.0
20220903,338,0.809536,244.0,461.0,219.0,2547.0,1038.0,562.0,699.0,2182.0,2291.0,2740.0
20220925,360,0.809536,206.0,382.0,272.0,1557.0,724.0,480.0,561.0,1218.0,1378.0,1392.0
20220930,365,0.809536,259.0,453.0,215.0,2402.0,971.0,449.0,659.0,1847.0,2171.0,2020.0
